20243510,3,17
20243515,1,18
20243515,2,23
20243515,3,15
20243520,1,11
20243520,2,17
20243520,3,10
20243525,1,21
20243525,2,27
20243525,3,19
20243530,1,24
20243530,2,30
20243530,3,16
20243535,1,15
20243535,2,20
20243535,3,12
20243540,1,19
20243540,2,24
20243540,3,16
20243545,1,13
20243545,2,18
20243545,3,11
20243550,1,22
20243550,2,28
20243550,3,14
20243555,1,16
20243555,2,21
20243555,3,13
20243560,1,20
20243560,2,25
20243560,3,17
20243565,1,18
20243565,2,23
20243565,3,15
20243570,1,11
20243570,2,17
20243570,3,10
20243575,1,21
20243575,2,27
20243575,3,19
20243580,1,24
20243580,2,30
20243580,3,16
20243585,1,15
20243585,2,20
20243585,3,12
20243590,1,19
20243590,2,24
20243590,3,16
20243595,1,13
20243595,2,18
20243595,3,11
20243600,1,22
20243600,2,28
20243600,3,14
20243605,1,16
20243605,2,21
20243605,3,13
20243610,1,20
20243610,2,25
20243610,3,17
20243615,1,18
20243615,2,23
20243615,3,15
20243620,1,11
20243620,2,17
20243620,3,10
20243625,1,21
20243625,2,27
20243625,3,19
20243630,1,24
20243630,2,30
20243630,3,16
20243635,1,15
20243635,2,20
20243635,3,12
20243640,1,19
20243640,2,24
20243640,3,16
20243645,1,13
20243645,2,18
20243645,3,11
20243650,1,22
20243650,2,28
20243650,3,14
20243655,1,16
20243655,2,21
20243655,3,13
20243660,1,20
20243660,2,25
20243660,3,17
20243665,1,18
20243665,2,23
20243665,3,15
20243670,1,11
20243670,2,17
20243670,3,10
20243675,1,21
20243675,2,27
20243675,3,19
20243680,1,24
20243680,2,30
20243680,3,16
20243685,1,15
20243685,2,20
20243685,3,12
